index,name,region,diet,selectedProteins,exclusions,engineVersion,engineSource,status,engineQA,hardCount,warnCount,weirdCount,hard,warn,weird,days,targetDays,mainCounts,proteinTotals
14,v348 valid veg-quality scenario 14 AU mode 13,AU,omnivore,chicken|beef|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""beef"":4,""eggs"":3,""chicken"":4}","[112,114,101,114,111,92,114]"
15,v348 valid veg-quality scenario 15 CA mode 14,CA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 4: eggs snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,107,100,111,99,112]"
16,v348 valid veg-quality scenario 16 US mode 15,US,omnivore,fish|beef|pork|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""pork"":3,""eggs"":3,""fish"":3,""beef"":3}","[91,103,98,100,99,107,95]"
17,v348 valid veg-quality scenario 17 UK mode 16,UK,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
18,v348 valid veg-quality scenario 18 SA mode 17,SA,omnivore,chicken|beef|pork|fish|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""eggs"":2,""pork"":2,""fish"":3,""chicken"":3}","[104,106,98,102,104,107,106]"
19,v348 valid veg-quality scenario 19 AU mode 18,AU,omnivore,chicken|beef|fish|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,102,106]"
20,v348 valid veg-quality scenario 20 CA mode 19,CA,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,100,116,102,108]"
21,v348 valid veg-quality scenario 21 US mode 0,US,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""eggs"":2,""pork"":2,""fish"":3,""chicken"":3}","[104,114,101,114,104,103,102]"
22,v348 valid veg-quality scenario 22 UK mode 1,UK,omnivore,beef|pork|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""eggs"":3,""fish"":3,""beef"":3}","[113,103,101,98,112,102,101]"
23,v348 valid veg-quality scenario 23 SA mode 2,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,no_red_meat,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,101,115,112,98,115]"
